benchmark,seed,status,tests_passed,total_tests,wall_time_s,tokens_used,total_llm_cost,failure_modes
alkane_isomer_search,42,success,2,2,24.5,4238,0.0049,
amplify_benchmark_job_selection,42,failed,0,2,21.4,1446,0.0008,formulation_error
aqora_energy_storage_microgrid_siting,42,success,2,2,7.0,1554,0.0007,
asset_exchange_qubo_plus,42,success,2,2,2.6,936,0.0003,
balanced_k_means_clustering,42,success,2,2,12.9,2069,0.0011,
bayesian_network_learning,42,failed,0,2,8.5,2165,0.0021,formulation_error
bin_packing,42,failed,0,2,12.6,2018,0.0013,formulation_error
brain_sparse_coding_qubo,42,success,2,2,19.4,1063,0.0004,
capacitated_facility_location,42,success,1,1,9.6,1920,0.0020,
clinical_enzyme_target_identification,42,failed,0,2,3.9,1309,0.0008,formulation_error
clique_cover,42,failed,0,2,44.9,1293,0.0007,coding_error
cloud_edge_resource_allocation,42,failed,0,2,6.7,1291,0.0006,formulation_error
combinatorial_auction_winner_determination,42,failed,1,2,23.7,973,0.0004,formulation_error
community_detection,42,success,2,2,6.1,1206,0.0011,
connectome_community_detection,42,failed,0,2,12.0,2353,0.0012,coding_error
core_periphery_partitioning,42,success,2,2,4.2,1169,0.0009,
credit_scorecard_selection,42,success,2,2,9.4,1508,0.0007,
cryptanalysis_prime_factorization,42,success,2,2,5.0,1091,0.0004,
cyber_risk_scoring_qubo,42,failed,0,2,12.1,1336,0.0005,formulation_error
cybersecurity_intrusion_feature_selection,42,failed,0,2,6.4,1316,0.0005,formulation_error
database_serializability_verification,42,success,3,3,7.2,2343,0.0023,
densest_k_subgraph,42,success,2,2,4.7,1493,0.0014,
distribution_network_reconfiguration,42,success,2,2,9.3,851,0.0004,
dominating_set,42,success,1,1,46.1,6340,0.0048,
dynamic_spectrum_allocation,42,failed,0,2,5.9,1777,0.0015,formulation_error
electronic_structure_eigensolver,42,failed,1,2,57.0,3309,0.0023,formulation_error
electronic_structure_eigensolver,42,failed,1,2,49.6,6674,0.0050,formulation_error
energy_storage_scheduling,42,failed,0,0,0.0,0,0.0000,
exact_cover_by_3_sets,42,success,1,1,10.7,995,0.0005,
exam_timetabling_quantum,42,success,3,3,27.0,1850,0.0010,
facility_location,42,success,2,2,5.9,1422,0.0015,
feature_selection,42,success,2,2,8.5,1654,0.0008,
feedback_arc_set,42,failed,0,1,567.0,65957,0.0525,coding_error
feedback_vertex_set,42,failed,0,0,0.1,0,0.0000,
fifo_stack_up,42,failed,0,0,0.0,0,0.0000,
finance_fraud_feature_selection,42,failed,0,2,5.9,1428,0.0012,formulation_error
fpga_placement,42,success,2,2,9.8,1882,0.0010,
fragment_flexible_docking,42,failed,0,2,9.7,2166,0.0010,coding_error
generalized_assignment,42,failed,0,1,84.1,1790,0.0011,coding_error
genome_assembly,42,failed,0,1,6.5,1621,0.0012,formulation_error
graph_bandwidth,42,failed,0,1,21.7,4173,0.0057,coding_error
graph_coloring,42,success,2,2,8.9,1323,0.0007,
graph_isomorphism,42,failed,1,2,9.9,1911,0.0020,formulation_error
hamiltonian_cycle,42,failed,0,1,8.0,1298,0.0007,coding_error
hamiltonian_path,42,failed,0,2,35.1,1085,0.0005,coding_error
hospital_staff_rescheduling,42,failed,0,3,10.0,1970,0.0010,coding_error
image_denoising,42,success,2,2,6.6,1269,0.0006,
image_segmentation_graph_cut,42,failed,0,2,78.2,1735,0.0010,formulation_error
inverse_kinematics,42,success,2,2,34.9,1061,0.0006,
ionq_trapped_ion_portfolio_decomposition,42,failed,0,2,6.0,1429,0.0005,formulation_error
iot_mec_aigc_server_selection,42,failed,0,2,11.0,1977,0.0010,formulation_error
iquhack_multi_vehicle_delivery,42,failed,0,2,16.1,2637,0.0017,formulation_error
job_shop_scheduling,42,success,2,2,32.2,1860,0.0018,
k_medoids_clustering,42,failed,0,2,96.5,13637,0.0175,coding_error
